cycle: 56; nbPreys: 47; minEnergyPreys: 0.08137252219751812; maxSizePreys: 1.0; nbPredators: 159; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.6800000071525574
cycle: 57; nbPreys: 47; minEnergyPreys: 0.031372521452460056; maxSizePreys: 1.0; nbPredators: 145; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.5000000111758709
cycle: 58; nbPreys: 48; minEnergyPreys: 0.02350979200063974; maxSizePreys: 1.0; nbPredators: 135; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.48000001162290573
cycle: 59; nbPreys: 43; minEnergyPreys: 0.0813724141640983; maxSizePreys: 1.0; nbPredators: 120; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.46000001206994057
cycle: 60; nbPreys: 43; minEnergyPreys: 0.03299996274709774; maxSizePreys: 1.0; nbPredators: 110; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.4400000125169754
cycle: 61; nbPreys: 39; minEnergyPreys: 0.00666650349895026; maxSizePreys: 1.0; nbPredators: 91; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.42000001296401024
cycle: 62; nbPreys: 38; minEnergyPreys: 0.0356274172044273; maxSizePreys: 1.0; nbPredators: 84; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.4000000134110451
cycle: 63; nbPreys: 36; minEnergyPreys: 0.029999863654377013; maxSizePreys: 1.0; nbPredators: 76; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.3800000138580799
cycle: 64; nbPreys: 39; minEnergyPreys: 0.14999998733401299; maxSizePreys: 1.0; nbPredators: 68; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.36000001430511475
cycle: 65; nbPreys: 40; minEnergyPreys: 0.09999998658895493; maxSizePreys: 1.0; nbPredators: 61; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.3400000147521496
cycle: 66; nbPreys: 40; minEnergyPreys: 0.049999985843896866; maxSizePreys: 1.0; nbPredators: 57; minEnergyPredators: 1.862645149230957E-8; maxSizePredators: 0.3200000151991844
cycle: 67; nbPreys: 39; minEnergyPreys: 0.010980276672861555; maxSizePreys: 1.0; nbPredators: 51; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.30000001564621925
cycle: 68; nbPreys: 33; minEnergyPreys: 0.08562737101082885; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.2800000160932541
cycle: 69; nbPreys: 35; minEnergyPreys: 0.035627370265770786; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.020000021904706955; maxSizePredators: 0.2600000165402889
cycle: 70; nbPreys: 34; minEnergyPreys: 0.14999998733401299; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.24000001698732376
cycle: 71; nbPreys: 34; minEnergyPreys: 0.09999998658895493; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.2200000174343586
cycle: 72; nbPreys: 34; minEnergyPreys: 0.049999985843896866; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.20000001788139343
cycle: 73; nbPreys: 39; minEnergyPreys: 0.07117645047166721; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.18000001832842827
cycle: 74; nbPreys: 39; minEnergyPreys: 0.021176449726609148; maxSizePreys: 1.0; nbPredators: 9; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.1600000187754631
cycle: 75; nbPreys: 41; minEnergyPreys: 0.04999999329447746; maxSizePreys: 1.0; nbPredators: 8; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.14000001922249794
cycle: 76; nbPreys: 40; minEnergyPreys: 0.04999999776482583; maxSizePreys: 1.0; nbPredators: 6; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.12000001966953278
cycle: 77; nbPreys: 35; minEnergyPreys: 0.09999999403953552; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.06000002101063728; maxSizePredators: 0.10000002011656761
cycle: 78; nbPreys: 35; minEnergyPreys: 0.04999999329447746; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.04000002145767212; maxSizePredators: 0.08000002056360245
cycle: 79; nbPreys: 34; minEnergyPreys: 0.14999998733401299; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.020000021904706955; maxSizePredators: 0.06000002101063728
cycle: 80; nbPreys: 35; minEnergyPreys: 0.09999998658895493; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 0.04000002145767212
cycle: 81; nbPreys: 35; minEnergyPreys: 0.049999985843896866; maxSizePreys: 1.0; nbPredators: 1; minEnergyPredators: 0.020000021904706955; maxSizePredators: 0.020000021904706955
cycle: 82; nbPreys: 34; minEnergyPreys: 0.02764701561016114; maxSizePreys: 1.0; nbPredators: 1; minEnergyPredators: 2.2351741790771484E-8; maxSizePredators: 2.2351741790771484E-8
